Date,Australia
1998Q4,20288
1999Q1,22047
1999Q2,14362
1999Q3,15775
1999Q4,21209
2000Q1,25261
2000Q2,15891
2000Q3,17117
2000Q4,22761
2001Q1,27539
2001Q2,17867
2001Q3,19460
2001Q4,23603
2002Q1,28197
2002Q2,17807
2002Q3,19420
2002Q4,24955
2003Q1,30426
2003Q2,19857
2003Q3,20960
2003Q4,28140
2004Q1,35468
2004Q2,23361
2004Q3,24367
2004Q4,29689
2005Q1,37330
2005Q2,22458
2005Q3,23878
2005Q4,29919
2006Q1,37291
2006Q2,24032
2006Q3,24942
2006Q4,32850
2007Q1,37850
2007Q2,23846
2007Q3,26384
2007Q4,33016
2008Q1,41378
2008Q2,24400
2008Q3,26825
2008Q4,33855
2009Q1,39344
2009Q2,25402
2009Q3,29355
2009Q4,36848
2010Q1,43797
2010Q2,26320
2010Q3,30642
2010Q4,37501
2011Q1,43260
2011Q2,25213
2011Q3,29521
2011Q4,37552
2012Q1,41987
